id,rain,visibility,main,sys,weather,cod,wind,base,clouds,coord,name,dt,snow
2448245,,,"{'temp': 25.53, 'pressure': 1008.57, 'humidity': 29, 'temp_min': 25.53, 'temp_max': 25.53, 'sea_level': 1008.57, 'grnd_level': 956.39}","{'message': 0.0029, 'country': 'NE', 'sunrise': 1551160426, 'sunset': 1551202908}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 1.89, 'deg': 223.003}",stations,{'all': 24},"{'lon': 6.28, 'lat': 15.46}",Abalak,1551199986,
4407665,,16093,"{'temp': -4.8, 'pressure': 1026, 'humidity': 67, 'temp_min': -10, 'temp_max': 0}","{'type': 1, 'id': 5924, 'message': 0.0049, 'country': 'US', 'sunrise': 1551185759, 'sunset': 1551226092}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",200,"{'speed': 4.1, 'deg': 50}",stations,{'all': 75},"{'lon': -94.76, 'lat': 39.95}",Kodiak,1551199958,
2126123,,,"{'temp': -36.27, 'pressure': 1011.25, 'humidity': 0, 'temp_min': -36.27, 'temp_max': -36.27, 'sea_level': 1011.25, 'grnd_level': 1008.87}","{'message': 0.0033, 'country': 'RU', 'sunrise': 1551131581, 'sunset': 1551163877}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]",200,"{'speed': 2.14, 'deg': 33.0029}",stations,{'all': 20},"{'lon': 147.9, 'lat': 70.62}",Chokurdakh,1551199987,
4972220,,8047,"{'temp': -13.2, 'pressure': 1012, 'humidity': 39, 'temp_min': -16, 'temp_max': -9.44}","{'type': 1, 'id': 4929, 'message': 0.0046, 'country': 'US', 'sunrise': 1551179870, 'sunset': 1551219486}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 7.2, 'deg': 290, 'gust': 15.4}",stations,{'all': 1},"{'lon': -68.71, 'lat': 45.66}",Millinocket,1551199803,
3386213,,10000,"{'temp': 30, 'pressure': 1011, 'humidity': 70, 'temp_min': 30, 'temp_max': 30}","{'type': 1, 'id': 8452, 'message': 0.0035, 'country': 'BR', 'sunrise': 1551169689, 'sunset': 1551213660}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",200,"{'speed': 4.6, 'deg': 160}",stations,{'all': 75},"{'lon': -35.46, 'lat': -5.2}",Touros,1551196800,
6620339,,,"{'temp': 25.73, 'pressure': 1008.73, 'humidity': 80, 'temp_min': 25.73, 'temp_max': 25.73, 'sea_level': 1008.73, 'grnd_level': 995.75}","{'message': 0.0031, 'country': 'AU', 'sunrise': 1551132518, 'sunset': 1551177717}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",200,"{'speed': 2.96, 'deg': 291.003}",stations,{'all': 0},"{'lon': 116.85, 'lat': -20.74}",Karratha,1551199988,
3869381,,,"{'temp': 22.11, 'pressure': 1016.25, 'humidity': 49, 'temp_min': 22.11, 'temp_max': 22.11, 'sea_level': 1016.25, 'grnd_level': 987.99}","{'message': 0.0031, 'country': 'CL', 'sunrise': 1551177132, 'sunset': 1551224045}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",200,"{'speed': 3.84, 'deg': 207.503}",stations,{'all': 0},"{'lon': -72.68, 'lat': -38.25}",Traiguen,1551199988,
2618795,,,"{'temp': 8, 'pressure': 1021, 'humidity': 81, 'temp_min': 8, 'temp_max': 8}","{'type': 1, 'id': 1596, 'message': 0.0031, 'country': 'FO', 'sunrise': 1551166671, 'sunset': 1551202903}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",200,"{'speed': 5.7, 'deg': 230, 'gust': 10.8}",stations,{'all': 12},"{'lon': -6.59, 'lat': 62.23}",Klaksvik,1551198000,
3382160,{'3h': 0.46},10000,"{'temp': 30, 'pressure': 1014, 'humidity': 58, 'temp_min': 30, 'temp_max': 30}","{'type': 1, 'id': 8669, 'message': 0.0036, 'country': 'GF', 'sunrise': 1551174103, 'sunset': 1551217352}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",200,"{'speed': 6.2, 'deg': 80}",stations,{'all': 80},"{'lon': -52.33, 'lat': 4.94}",Cayenne,1551198600,
1179724,{'3h': 2.95},,"{'temp': 1.78, 'pressure': 1016.69, 'humidity': 100, 'temp_min': 1.78, 'temp_max': 1.78, 'sea_level': 1016.69, 'grnd_level': 853.43}","{'message': 0.0041, 'country': 'PK', 'sunrise': 1551145729, 'sunset': 1551186684}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",200,"{'speed': 1.04, 'deg': 2.00293}",stations,{'all': 88},"{'lon': 70.74, 'lat': 33.42}",Doaba,1551199989,
